,노선번호,구간,이정,연장,2017,2018,2019,2020,계,1~2종,3~12종,17~20년도_합계,startpoint,endpoint,startpoint_coor,endpoint_coor,rest_count,accident_count
13,,영천JCT~영천IC,90.8~96.4,5.6,32401.0,27327.0,33519.0,30651.0,"34,601",21477,4471,123898.0,영천JCT,영천IC,"(35.9189266250469, 129.005577558903)","(35.9223815977351, 128.95144901262)",0,0
14,,영천IC~경산IC,96.4~112.8,16.4,48210.0,41812.0,50548.0,47778.0,"49,682",31898,7123,188348.0,영천IC,경산IC,"(35.9223815977351, 128.95144901262)","(35.8769438549343, 128.787629807985)",1,0
15,,경산IC~동대구JCT,112.8~122.1,9.3,79803.0,69925.0,75133.0,74842.0,"69,489",44202,10544,299703.0,경산IC,동대구JCT,"(35.8769438549343, 128.787629807985)","(35.8856949969194, 128.694438187263)",1,1
16,,동대구JCT~도동JCT,122.1~126.1,4.0,120758.0,105684.0,112831.0,109530.0,"116,883",73938,17049,448803.0,동대구JCT,도동JCT,"(35.8856949969194, 128.694438187263)","(35.9126274422533, 128.66249855648)",0,7
17,,도동JCT~북대구IC,126.1~133.6,7.5,139002.0,128812.0,135135.0,132091.0,"140,528",87284,21015,535040.0,도동JCT,북대구IC,"(35.9126274422533, 128.66249855648)","(35.9091523137389, 128.581148342511)",0,7
18,,북대구IC~금호JCT,133.6~139.1,5.5,144628.0,138967.0,149595.0,144977.0,"146,776",93584,21061,578167.0,북대구IC,금호JCT,"(35.9091523137389, 128.581148342511)","(35.8926208154639, 128.525211410393)",0,18
19,,금호JCT~칠곡물류IC,139.1~149.8,10.7,118111.0,103053.0,107877.0,104824.0,"114,976",73688,14622,433865.0,금호JCT,칠곡물류IC,"(35.8926208154639, 128.525211410393)","(35.957338926254, 128.454844764932)",0,12
20,,칠곡물류IC~왜관IC,149.8~153,3.2,119373.0,105977.0,113822.0,107716.0,"111,152",71483,13935,446888.0,칠곡물류IC,왜관IC,"(35.957338926254, 128.454844764932)","(35.9773269331936, 128.432333129073)",0,0
21,,왜관IC~남구미IC,153~167,14.0,103424.0,85675.0,92509.0,87956.0,"97,082",62583,11551,369564.0,왜관IC,남구미IC,"(35.9773269331936, 128.432333129073)","(36.0699059538997, 128.368548335281)",2,0
22,,남구미IC~구미IC,167~171.9,4.9,81738.0,77038.0,84450.0,79940.0,"85,560",55305,9989,323166.0,남구미IC,구미IC,"(36.0699059538997, 128.368548335281)","(36.1089891068003, 128.360737259514)",0,4
23,,구미IC~김천JCT,171.9~182.7,10.8,76157.0,69016.0,78833.0,71994.0,"75,639",48934,8623,296000.0,구미IC,김천JCT,"(36.1089891068003, 128.360737259514)","(36.159659552209, 128.266316243841)",1,7
24,,김천JCT~동김천IC,182.7~191.9,9.2,43796.0,37115.0,39954.0,40918.0,"44,925",29152,5221,161783.0,김천JCT,동김천IC,"(36.159659552209, 128.266316243841)","(36.1359296067777, 128.176283062204)",0,11
25,,동김천IC~김천IC,191.9~199.8,7.9,36514.0,35196.0,37798.0,36451.0,"38,827",25050,4228,145959.0,동김천IC,김천IC,"(36.1359296067777, 128.176283062204)","(36.1338305543988, 128.094662278176)",2,0
